ステージ管理人,Stage Manager
ティーザ,Tiza
ビャン・ダオ,Byan Dao
リウ老師,Master Liu
マザー・ヘレナ,Mother Helena
ドゥラ,Dura
シスター・ニニカ,Sister Ninika
チョッパ,Choppa
アペペ,Apepe
チャガタイ,Chagatai
チレチェチェ,Chile Cheche
ボラザール,Borazaru
ピルクノ,Pirukuno
素材屋シトリ,Material Shop Shitori
ノーラン,Noran
ザルギス,Zarugisu
ベスコー,Besuko
グリーダ,Gurida
ヘッポロ,Hepporo
プルッテ,Purutte
量産型魔法戦士A,Armamentalist Model A
量産型魔法戦士B,Armamentalist Model B
量産型魔法戦士C,Armamentalist Model C
量産型魔法戦士D,Armamentalist Model D
量産型魔法戦士E,Armamentalist Model E
量産型魔法戦士F,Armamentalist Model F
ユナティ,Unaty
アーベルク,Aberuku
ザイナー衛士団長,Guard Commander Zeiner
フィーヤ,Fiya
ミャルジ,Myarji
マンマーの部下,Momma's Subordinate
ナフナー,Nafuna
ソヌーグ,Sonugu
レオン・ビュブロ,Leon Bublo
ボロボロの魔神兵,Tattered Demon Soldier
武器屋ザイクス,Weapon Shop Zykes
防具屋ドロンガ,Armor Shop Doronga
素材屋レヴェリ,Material Shop Reverie
武器屋ドギス,Weapon Shop Dogis
防具屋ザングル,Armor Shop Zangle
ザンジャ神父,Father Zanja
道具屋ディノム,Item Shop Dinom
宿屋ロンリア,Innkeep Lonria
エブラフ神父,Father Ebluff
預かり所ヴァン,Storage Vanne
宿屋ルモ,Innkeep Lumo
道具屋ドモラ,Item Shop Domora
武器屋ワイズ,Weapon Shop Wyze
防具屋ジルジャ,Armor Shop Jiruja
ホルムズ,Holmes
郵便局員グウェン,Postman Gwen
美容師ガラ,Hairdresser Gla
神官ガトゥ,Priest Gattu
リガ,Riga
駅員デドダ,Attendant Dedoa
駅員ヴァド,Attendant Vado
取引商グイド,Trader Guido
案内係シェラ,Guide Shera
クォン,Kuon
シスター・フュン,Sister Hyun
宿屋オルダ,Innkeep Orda
預かり所バタン,Storage Batan
料理屋キーン,Server Keen
素材屋ギュン,Material Shop Gyun
ジャム,Jamu
紹介人クシュ,Introducer Kush
神官サリィ,Priest Sally
宿屋ディア,Innkeep Dia
シスター・サーラ,Sister Sarah
預かり所ケシャ,Storage Kesha
宿屋レアン,Innkeep Rean
道具屋アナ,Item Shop Ana
宿屋シュパ,Innkeep Shupa
ゴノザ神父,Father Gonoza
預かり所グスガ,Storage Gusga
宿屋マハート,Innkeep Mahart
シスター・マキリ,Sister Makiri
道具屋ノーム,Item Shop Nomu
宿屋ハルト,Innkeep Haruto
ポポロ神父,Father Popolo
道具屋ミッケル,Item Shop Mickel
宿屋ルンココ,Innkeep Runkoko
シスター・デリアン,Sister Derian
道具屋ゲバン,Item Shop Geban
アバ,Abba
カメさま,Galapagod
シンイ,Shini
タララ,Tarara
タンヤ,Tanya
ナッサ,Nassa
ノギシ,Nogishi
ナジ,Naji
イバン,Iban
魔導鬼ベドラー,Sorcerer Bedora
冥王ネルゲル,Dark Lord Nergal
ヤチャ,Yacha
チマ,Chima
テトト,Tetto
イナク,Inaku
ノンビ,Nonbi
よろず屋ゴーツク,General Shop Gotsuku
カヌチ,Kanuchi
クダイ,Kudai
ノーラ,Nora
ネイ,Nei
シスター・イオリ,Sister Iori
コーリン,Korin
トーキィ,Tokei
ウーエル,Ueru
グローム,Guromu
カーラム,Karamu
ミヤク,Miyaku
新アバの杖,Abba's New Cane
エルジュの剣,Erju's Sword
錬金男の短剣,Alchemy Man Dagger
木彫りの神像,Wood Carved Idol
香炉と木くず,Censer & Woodchips
オーレン,Oren
ゼクセン,Zexen
清き水の洞窟扉,Clear Water Cave Door
レイダメテス地面,Reidametes Ground
レイダメテス柱,Reidametes Pillar
ネルゲル像,Nergal Statue
悪魔道化師ゲイザー,Demon Clown Gazer
闇芸人ルルルリーチ,Relulu
ラギー,Ruggy
ムギー,Muggy
チギー,Chuggy
ダンスデビル,Boogieman
スターデビル,Star Devil
下級亡霊兵士,Low Ghost Soldier
上級亡霊兵士,High Ghost Soldier
パルカラス亡霊王,Ghost King Palkaras
呪いの影,Cursed Shade
ポランパン,Poranpan
ユウギリ,Yugiri
レーノス,Renosu
アラン,Aran
イアン,Ian
ウルグ,Urugu
ラズマン,Razuman
リオン,Leon
メラニィ,Melanie
ミズヒキ,Mizuhiki
ポポム,Popomu
バルドン,Barudon
じんめんじゅ,Treeface
伐採マシン,Choppin Machine
伐採マシン改,Choppin Machine v2
憎悪の精霊樹,Hate Tree
メメちゃん,Meme-chan
レンジャー１,Ranger 1
レンジャー２,Ranger 2
レンジャー３,Ranger 3
レンジャー４,Ranger 4
レンジャー５,Ranger 5
アタッチ君,Mr. Attachment
アバの枕,Abba Pillow
箱錬金の箱,Box Alchemy Box
守護者ラズバーン,Guardian Razburn
オルゴール,Music Box
石化ズーボー,Petrified Zubo
誓いの盃,Oath Cup
石版,Tablet
粗末な箱,Poor Box
パフェ,Pafe
氷鳥のステッキ,Ice Bird's Stick
本青,Blue Book
本黄,Yellow Book
本緑,Green Book
本赤,Red Book
本茶,Tea Book
本グレー,Gray Book
本紫,Purple Book
古本茶,Tea Old Book
古本赤,Red Old Book
古本紫,Purple Old Book
花束白,White Bouquet
花束３色,3 Color Bouquet
シエラの花,Sierra's Flower
羊皮紙,Parchment
手紙封蝋赤,Red Wax Seal
手紙封蝋緑,Green Wax Seal
トゥルカス,Tulkas
ススレ,Susure
シシイラ,Shishiira
武器屋クロトビ,Weapon Shop Kurotobi
道具屋ヒワ,Item Shop Hiwa
ヘキ神父,Father Heki
宿屋ノクタ,Innkeep Nocta
道具屋ポリーナ,Item Shop Paulina
宿屋フーピー,Innkeep Fupi
武器屋ホーポー,Weapon Shop Hopo
防具屋プルンガ,Armor Shop Plunga
シスター・ハパ,Sister Hapa
パルペーラ神父,Father Palpera
紹介人ニロップ,Introducer Nirop
素材屋ピッツ,Material Shop Pitts
防具屋ピルフォン,Armor Shop Pilfon
武器屋ホルサス,Weapon Shop Horsus
道具屋プティット,Item Shop Petit
宿屋パピアット,Innkeep Papiatto
預かり所ヤポル,Storage Yapor
郵便局員パステ,Postman Pasute
パオペラ,Paopera
ポアピィ,Poapii
ペッテス,Pettesu
プラージュ,Purajyu
キュピル,Kyupiru
ペーペス,Pepesu
神官オルパナ,Priest Orpana
駅員プラットル,Attendant Platol
案内係スプイト,Guide Supito
ロロップ神父,Father Lollop
紹介人プリュノ,Introducer Pruno
宿屋ピルトポ,Innkeep Piltopo
預かり所ペラーナ,Storage Perana
郵便局員ユピン,Postman Yupin
料理屋カポロン,Server Kaporon
道具屋プルリィ,Item Shop Purly
防具屋ピースペ,Armor Shop Pisupe
武器屋マウタス,Weapon Shop Mautas
美容師プラティナ,Hairdresser Platina
プブロフ,Publov
ピレルー,Pierre
パルマン,Parman
ケラプ,Kerap
案内係ピューリィ,Guide Pury
神官ペオ,Priest Peo
駅員ポランク,Attendant Poranku
駅員ルオパス,Attendant Luopus
プロフィテ神父,Father Profite
宿屋ペラトネ,Innkeep Peratone
道具屋プルア,Item Shop Purua
預かり所ペレチカ,Storage Perechika
トロペ神父,Father Trope
宿屋パープナ,Innkeep Papuna
預かり所スピーラ,Storage Spira
案内係ペルジュ,Guide Perju
宿屋コロモ,Innkeep Koromo
郵便局員オボロ,Postman Obor
道具屋トベラ,Item Shop Tobera
美容師アコヤ,Hairdresser Akoya
武器屋ズイ,Weapon Shop Zui
防具屋シラベ,Armor Shop Shirabe
柱屋ユク,Pillar Yuku
料理屋ナハギ,Server Nahagi
紹介人タマサ,Introducer Tamasa
預かり所シラタマ,Storage Shiratama
道具屋ルオプ,Item Shop Luop
素材屋カゲツ,Material Shop Kagetsu
ヤスナ神父,Father Yasna
ヤツハシ,Yatsuhashi
カクジュ,Kakuju
サンゴ,Coral
案内係カスリ,Guide Kasri
取引商ミヒラ,Trader Mihira
マスター・カンナ,Master Kanna
素材屋ミヅキ,Material Shop Mizuki
取引商ウタ,Trader Uta
コキチ,Kokichi
ウコン,Ukon
ハヤト,Hayato
シヅヤ,Shizuya
神官ウメノ,Priest Umeno
駅員アムサリ,Attendant Amsari
ウコギ神父,Father Ukogi
宿屋トノマ,Innkeep Tonoma
道具屋キヨメ,Item Shop Kiyome
預かり所イチル,Storage Ichiru
カガト神父,Father Kagato
宿屋マルツネ,Innkeep Marutsune
道具屋ビャクヤ,Item Shop Byakuya
預かり所シキ,Storage Shiki
ヤマシ神父,Father Yamashi
宿屋クルム,Innkeep Kulm
道具屋オシド,Item Shop Oshido
預かり所イグサ,Storage Igusa
キクノ,Kikuno
ミゾレ,Mizore
サミダレ,Samidare
トスカ,Tosuka
神官キヅタ,Priest Kizuta
駅員コウヤ,Attendant Kouya
ペロウ,Perou
ククリ,Kukri
ププリ,Pupuri
けがれの渦,Epidemex
つぼ,Vase
ハツラツ豆,Pep Beans
ちいさなメダル,Mini Medal
ガミルゴ,Gamilgo
ドルガー,Dolga
バクス,Bax
カムシカ,Azlantelope
シュルル,Shururu
イッショウ,Issho
リリオル,Lyriol
エルバ,Elba
ホーロー,Hollow
シャンデリア冥,Chandelier Dark
北の渡し守ギマール,North Ferryman Guimard
南の渡し守ハーリ,South Ferryman Hari
アーペル神父,Father Arpel
宿屋シャミー,Innkeep Shammy
道具屋チャーロン,Item Shop Charon
預かり所ニューネ,Storage Newne
シスター・カナーテ,Sister Canate
宿屋ワージタ,Innkeep Wajita
道具屋メーロル,Item Shop Merol
預かり所ユリーラ,Storage Yurila
セレネア,Serenea
ジャネット,Janet
チャツカ,Chatska
ラムイ,Ramui
クディン,Kudin
ミュリネ,Murine
オルソー,Ortho
アイギス,Aigis
モモナ,Momona
シギ,Shigi
グリオ,Griot
ミミナ,Mimina
マリカ,Marika
ドルレ,Dorle
ラスパ,Laspa
バルチカ,Baltika
ペルネ,Pernet
ゲンジイ,Genji
ボナパ,Bonapa
エメリナ,Emmelina
ガルバオ,Galvao
シャルル,Charles
レジーナ,Regina
ヤヌ,Yanu
ミノサ,Minosa
マナム,Manam
シシマ,Shishima
ヨンジ,Yonji
ホヨウ,Hoyo
テンバ,Tenba
宿屋ヨギサ,Innkeep Yogisa
よろず屋ウカ,General Shop Uka
ヤクウ,Yaku
モユク,Moyuku
ガミョウ,Gamyo
ノンジ,Nonzi
シノサ,Shinosa
チャセン,Chasen
ロコ,Roko
チャボン,Chabon
スピル,Spiel
シスター・アシラ,Sister Ashira
宿屋トリリ,Innkeep Trili
宿屋タタカ,Innkeep Tataka
防具屋フチチ,Armor Shop Fuchichi
武器屋チアマト,Weapon Shop Chiamato
紹介人バアス,Introducer Baas
道具屋サアタウ,Item Shop Satau
武器屋ベイ,Weapon Shop Bei
防具屋タアテェ,Armor Shop Tate
シスター・ルルア,Sister Lulua
郵便局員チカカ,Postman Chikaka
素材屋モノノ,Material Shop Monono
料理屋ククラ,Server Kukura
宿屋セセラ,Innkeep Cecera
預かり所ムルル,Storage Mururu
宿屋ツィッサ,Innkeep Zissa
ツィリア,Zilia
取引商チャリオ,Trader Chario
取引商ラツィフ,Trader Ratif
預かり所ルチチ,Storage Ruchichi
宿屋ムムセ,Innkeep Mumse
マスター・ツェンケ,Master Zenke
ニルル,Niruru
ミミタ,Mimita
素材屋タブロ,Material Shop Tablo
スギム局長,Director Sugimu
モラン,Moran
ベロニア,Veronia
ゲルバン,Gelban
コバン,Koban
ジョルジ,Jorge
ポリポン,Polypon
ツィツオ,Zitsuo
チライ,Chirai
サレーナ,Salena
ホンマ,Honma
イヌロイ,Inuroy
バネッサ,Vanessa
フーマー,Hoomer
クレイン,Crain
マンセル,Munsell
オルコ,Orko
ゴーガンダ,Goganda
ゲンタ,Genta
マレナ,Malena
ヴォリア,Volia
ジェバン,Jevan
カシュア,Kashua
ジャッカル局員,Clerk Jackal
ヤッコイ局員,Clerk Yakkoi
フューラー,Fuller
クッチャ,Kutcha
セツミ,Setsumi
ピタピタ,Pitapita
コット,Cot
エナ,Ena
チルキヨ,Chilkyo
マジリク,Majirik
ジョアンナ,Joanna
トトママ,Totomama
プッチョ,Puccho
素材屋クアライ,Material Shop Quarai
紹介屋チョスウ,Refer Shop Chosu
ラライ,Ralai
タハティ,Tahati
リワワ,Liwawa
ラアトオ,Raato
アアナ,Aana
タアドム,Tadom
案内係ロオチャ,Guide Loocha
神官ガタチャ,Priest Gatacha
武器屋ムントフ,Weapon Shop Muntov
防具屋グリッチャ,Armor Shop Gritcha
道具屋タタイ,Item Shop Tatai
郵便局員ツツハ,Postman Tsutsuha
素材屋シレレ,Material Shop Silere
預かり所ガツェ,Storage Gashe
美容師モココ,Hairdresser Mokoko
紹介人ムウリ,Introducer Muuri
宿屋フフイ,Innkeep Fufui
ロレツオ神父,Father Loretto
料理屋テテネ,Server Tetene
マスター・リリム,Master Lilim
素材屋フウザム,Material Shop Fuuzam
取引商ムツィコ,Trader Mutsico
キキナ,Kikina
ンテテ,Intete
マツィフ,Matzif
ティンタ,Tinta
トトワ,Totowa
ラウウ,Lau
チュプン,Chupun
案内係レミミ,Guide Remimi
レネネ,Renene
神官トトラ,Priest Totora
シスター・ロロサ,Sister Lolosa
預かり所テテマ,Storage Tetema
トッチァ神父,Father Toccia
宿屋ミルル,Innkeep Miruru
預かり所アココ,Storage Akoko
シスター・ミシェル,Sister Michelle
預かり所スサナ,Storage Susana
素材屋アッカフ,Material Shop Akkafu
宿屋ヘルミネ,Innkeep Hermine
グレック神父,Father Greck
預かり所ティルダ,Storage Tilda
道具屋マリシア,Item Shop Marisha
宿屋モルテン,Innkeep Molten
マスター・ポーリア,Master Paulia
素材屋ジョスリン,Material Shop Joslyn
武器防具屋マシスタ,Weapon & Armor Shop Masista
取引商マッケイ,Trader Mackay
ブレンダン,Brendan
ルーク,Luke
メイリン,Meyline
セシリィ,Cecily
マスター・バレクス,Master Barex
道具屋マヌエラ,Item Shop Manuela
取引商ヴェルー,Trader Veru
スタッズ,Stazzu
エベリナ,Evelina
カリーヌ,Carine
ビィルト,Bilto
ラフ,Rafu
案内係アージュ,Guide Aju
駅員チュケェ,Attendant Chuke
駅員ツェン,Attendant Tsuen
ダストンの剣,Duston's Sword
武器屋フィギン,Weapon Shop Figgin
防具屋セリータ,Armor Shop Serita
よろず屋サフィ,General Shop Safi
宿屋コンラザ,Innkeep Conraza
預かり所ルクバ,Storage Rukuba
ジュロム神父,Father Jurom
紹介人グルマン,Introducer Gulman
シスター・マレレ,Sister Marelle
道具屋チャジロ,Item Shop Chajiro
道具屋ユユン,Item Shop Yuyun
ごきげんな帽子,Cheerful Hat
ヒューザ,Hyuza
素材屋ポレッテ,Material Shop Polette
ギガデーモン,Pruslas
武闘魔ガウラド,Warrior Demon Gaurad
タップペンギー,Pogoin' Penguin
商品ナンバー７,Item Number 7
商品ナンバー１２,Item Number 12
最強商品,Strong Goods
つちわらし,Lickspittle
ボーンプリズナー,Marrow Escapee
波怨竜,Wavragon
サードンの手下,Sardon's Minion
ヒポポ・サードン,Hippo Sardon
封印の守り手A,Seal Guardian A
封印の守り手B,Seal Guardian B
証人ラディスオー,Witness Ladisau
大樹の長,Tree Chief
おどるほうせき,Goodybag
謎の武装兵,Mystery Soldier
大地の竜バウギア,Earthwyrm
魔人スピンドル,Demon Spindle
魔人兵士,Demon Guard
空の狩人,Sky Hunter
怒りのプンスコ,Angry Punsuko
駅員カイル,Attendant Kairu
駅員ロマヌス,Attendant Romanus
宿屋リミナ,Innkeep Limina
武器屋シュリィ,Weapon Shop Shuri
防具屋ギャンパ,Armor Shop Gyanpa
道具屋ゼクバ,Item Shop Zekuba
フォステイル像,Fostail Statue
案内係プレーテ,Guide Prete
パートリ,Patori
パーシャ,Persia
武器屋セルーソ,Weapon Shop Celso
防具屋アベーシャ,Armor Shop Abesha
武器屋ウーボイ,Weapon Shop Uboi
防具屋フアーナ,Armor Shop Fuana
武器屋セベー,Weapon Shop Sebe
防具屋コーレス,Armor Shop Corres
武器屋ゲンバウ,Weapon Shop Genbau
防具屋パラリン,Armor Shop Pararin
道具屋ガーディ,Item Shop Gadi
道具屋カトラズ,Item Shop Katraz
武器屋バッゲス,Weapon Shop Bagges
防具屋ゴンボ,Armor Shop Gonbo
道具屋ドロッジェ,Item Shop Drogger
キリク,Kiriku
ガボン,Gabon
ユキ,Yuki
イッコク,Ikkoku
エレン,Ellen
ベニシロ,Benishiro
リザードマン,Mandrake Major
ライノソルジャー,Rhinoceraxe
武器屋チョムウ,Weapon Shop Chomu
防具屋ツタタ,Armor Shop Tsutata
武器屋クアトオ,Weapon Shop Kuato
防具屋キイチョ,Armor Shop Kicho
武器屋メメク,Weapon Shop Memeku
防具屋コアヤフ,Armor Shop Koayafu
メギドローム,Megidrome
ギャスモン,Gasmon
聖獣ダイキリン,Holy Beast Dai Kirin
魔獣ビュブロス,Magical Beast Byblos
魔鳥の頭目,Head Squarker
ジャミラス,Jamirus
カラリン,Karalin
カァズ,Kaz
武器屋ウラジロ,Weapon Shop Urajiro
防具屋ミズバ,Armor Shop Mizuba
武器屋アセビ,Weapon Shop Asebi
防具屋スズミ,Armor Shop Suzumi
武器屋リュウトウ,Weapon Shop Ryuto
防具屋チガヤ,Armor Shop Chigaya
素材屋イザヨイ,Material Shop Izayoi
少年,boy
道具屋ポロペン,Item Shop Poropen
武器屋パーラプ,Weapon Shop Parlap
防具屋ヘペ,Armor Shop Bepe
道具屋ヤップイ,Item Shop Yapui
武器屋ペリトン,Weapon Shop Periton
防具屋ポナック,Armor Shop Ponak
ペーロ,Pero
パルポ,Palupo
パパルッパ,Papalupa
ププロイ,Pupuloi
フェザーマスク,Feather Mask
魔瘴竜,Jaomanda
渡し守シャリア,Ferryman Sharia
渡し守ヌーティフ,Ferryman Nutif
モミャー,Momia
ミョッカ,Myoka
ニョラバルト,Nyorabalt
取引商アルハン,Trader Alhan
取引商ソクラ,Trader Sokura
取引商ダンケ,Trader Danke
取引商ペルレ,Trader Perle
取引商ラーク,Trader Raku
武器屋アルプ,Weapon Shop Alp
防具屋ペルトラン,Armor Shop Pertran
ペペレ,Pepele
ガルシア,Garcia
ネイネ,Neine
魔盗鬼チャムール,Devilish Thief Chamour
魔賢者アクバー,Sorcerer Blackmar
エイダ,Ada
アークデーモン,Archdemon
道具屋ロアチュ,Item Shop Roacha
道具屋ベラチャ,Item Shop Beracha
道具屋カカラ,Item Shop Kakara
レイリー,Rayleigh
種族神像プクリポ,Pukulipo Tribal Statue
種族神像ウェディ,Weddie Tribal Statue
種族神像オーガ,Ogre Tribal Statue
